Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
аддис-абеба	112	autre	#а ад дд ди ис с- -а аб бе еб ба а#	0.1639010556279057	p	0	0	0	0.5838182078173851	0.2786716010485354	0.2717657630652231	0.1923737495151718	5	ad	a	II	1	f	0	0	0	аддис-абебский	"Н. С. Гумилев. Африканский дневник (1913)   [омонимия снята]  Все примеры (1)
           Но я сам послал искать другого моего аддис-абебского знакомого ― маленького чистенького пожилого копта, директора местной школы.  [Н. С. Гумилев. Африканский дневник (1913)]  [омонимия снята]  ←…→"	1	аддис-абеб	cLab	sk
адипоцит	9	autre	#а ад ди ип по оц ци ит т#	-2.5683858031568234	0	0	c	0	0.1542699585472624	0.3443955052609579	0.5588942477900947	0.3807194944606845	4	d	0	I	0	n	0	0	0	адипоцитный	"Н. Л. Резник. Откуда берутся гормоны // Химия и жизнь, 2011   [омонимия не снята]  Все примеры (1)
           К сожалению, апелин и висфатин не могут противостоять действию других адипоцитных гормонов.  [Н. Л. Резник. Откуда берутся гормоны // Химия и жизнь, 2011]  [омонимия не снята]  ←…→"	1	адипоцит	cDent	n
адлерберг	288	autre	#а ад дл ле ер рб бе ер рг г#	-2.757277143995106	p	0	0	0	0.4757558864741589	0.3972381598920227	0.2822982109363149	0.2200287931448389	3	aad	a	I	1	m	0	0	0	адлербергский	"Н. О. Лосский. Воспоминания: жизнь и философский путь (1968)   [омонимия не снята]  Все примеры (1)
           По дороге мы осмотрели замечательную Адлербергскую пещеру, где в грандиозном зале из стены вырывается подземная река и низвергается в пропасть.  [Н. О. Лосский. Воспоминания: жизнь и философский путь (1968)]  [омонимия не снята]  ←…→"	1	адлерберг	cVel	sk
адмет	21	autre	#а ад дм ме ет т#	-2.022848844102108	p	0	0	0	0.6413675034869449	0.4537915984137145	0.2674669176312253	0.2530654157069293	2	d	a	I	1	m	0	0	0	адметский	"К. П. Победоносцев. Московский сборник (1896)   [омонимия не снята]  Все примеры (1)
           В греческой легенде Аполлон живет с адметскими пастухами, и Юпитер делит сельскую жизнь с бедными ефиоплянами.  [К. П. Победоносцев. Московский сборник (1896)]  [омонимия не снята]  ←…→"	1	адмет	cDent	sk
адресат	2572	autre	#а ад др ре ес са ат т#	-2.0754373349048976	0	h	0	0	0.2385754703081037	0.3571905396365354	0.4190909664244528	0.2939476754656597	3	d	a	I	1	m	0	0	0	адресатный	"В. С. Храковский. Понятие сирконстанта и его статус (1999)   [омонимия снята]  Все примеры (1)
           в. адресатный пассив ― показатель: суффикс- an в глаголе, этот суффикс употребляется, когда подлежащее соответствует адресату или месту:  [В. С. Храковский. Понятие сирконстанта и его статус (1999)]  [омонимия снята]  ←…→"	1	адресат	cDent	n
адсорбент	60	autre	#а ад дс со ор рб бе ен нт т#	-1.9308342614419485	0	0	c	0	0.1789015289449883	0.2605461539629667	0.6271690947495068	0.4318009074276904	3	d	a	I	1	m	0	0	supp	адсорбный	"Правила технической эксплуатации электроустановок потребителей // , 2003   [омонимия не снята]  Все примеры (1)
           Трансформаторы мощностью 1000 кВ•А и более должны эксплуатироваться с системой непрерывной регенерации масла в термосифонных и адсорбных фильтрах.  [Правила технической эксплуатации электроустановок потребителей // , 2003]  [омонимия не снята]  ←…→"	1	адсорб	cLab	n
аид	1002	autre	#а аи ид д#	-1.3067497140276283	p	0	0	0	0.5494266446211942	0.4653134949752734	0.4036764048126869	0.3295080654401791	2	d	a	I	1	m	0	0	0	аидский	"А. И. Тиняков. Победа любви [Тропинкою любви, 1] (1908)   [омонимия не снята]  Все примеры (1)
           К пеннорожденной Афродите С нежданной силой я взывал И громом песен поражал Аидских змей живые нити.  [А. И. Тиняков. Победа любви [Тропинкою любви, 1] (1908)]  [омонимия не снята]  ←…→"	1	аид	cDent	sk
акафист	602	autre	#а ак ка аф фи ис ст т#	-1.8124010952668248	0	0	0	a	0.3132079950318466	0.3546529113211328	0.3951007667667595	0.4720563736477882	3	ad	a	I	1	m	0	0	0	акафистный	"митрополит Антоний (Блум). Стояние христианское (1973)   [омонимия не снята]  Все примеры (1)
           Когда мы стояли и молились во время акафиста перед мощами святителя Макария, мне так ясно представилось, что не случайно акафистное пение называется «неседален»: во время этого пения мы стоим, будто натянутая струна, к которой может прикоснуться Божественная рука ― и она под этой рукой запоет, принесет Богу хвалу, каждый по-своему, каждый из своего сердца, каждый издаст тот звук, ту мелодию, которую он может принести Богу  .  [митрополит Антоний (Блум). Стояние христианское (1973)]  [омонимия не снята]  ←…→"	1	акафист	cDent	n
акведук	205	autre	#а ак кв ве ед ду ук к#	-0.6016508316544611	0	0	c	0	0.3389922245877074	0.2312711336053753	0.537152586077591	0.3083116208729328	3	d	a	I	3	m	0	0	0	акведукной	"П. И. Вейнберг. Стрекоза и муравей (1862)   [омонимия не снята]  Все примеры (1)
           Попрыгунья стрекоза,  Акведукная компанья,  Погрузилась в труд копанья…  [П. И. Вейнберг. Стрекоза и муравей (1862)]  [омонимия не снята]  ←…→"	1	акведук	cVel	n
акташ	44	autre	#а ак кт та аш ш#	-1.924236507607964	p	0	0	0	0.542762653515353	0.3592674027355856	0.4064121714010184	0.2346241909341166	2	d	a	I	4	m	0	0	0	акташский	"Качаева Иоланта. МЕСТЬ 'АЛТАЙСКОЙ ПРИНЦЕССЫ' // Труд-7, 2003.12.18   [омонимия не снята]  Все примеры (1)
           В кабинете главы поселковой акташской администрации Василия Андриенко штукатурка на стенах обвалилась, обнажив глубокие трещины.  [Качаева Иоланта. МЕСТЬ 'АЛТАЙСКОЙ ПРИНЦЕССЫ' // Труд-7, 2003.12.18]  [омонимия не снята]  ←…→"	1	акташ	cAlv	sk
актиний	163	autre	#а ак кт ти ин ни ий й#	-1.9693090431996365	0	0	c	0	0.2038654620386014	0.2980803089397622	0.6104539580569636	0.3920528937563824	3	ad	a	I	7	m	0	0	0	актиниевый	"В. Кузнецов. Плутоний // «Химия и жизнь», 1968   [омонимия не снята]  Все примеры (1)
           Подобно редкоземельным элементам, все элементы актиниевого ряда очень близки между собой по химическим свойствам, строение внешних электронных оболочек атомов всех элементов от актиния до лоуренсия одинаково.  [В. Кузнецов. Плутоний // «Химия и жизнь», 1968]  [омонимия не снята]  ←…→"	1	актиниj	cAlv	Ov
алитус	21	autre	#а ал ли ит ту ус с#	-2.657134333256896	p	0	0	0	0.7105178273029054	0.2746500139487297	0.2295730785656946	0.2178442056736861	3	ad	a	I	1	m	0	0	0	алитусский	"обобщенный. Короткие корреспонденции // «Техника - молодежи», 1977   [омонимия не снята]  Все примеры (1)
          ***   Дома для сельской местности, которые серийно строит Алитусский экспериментальный домостроительный комбинат, отвечают современным архитектурным, техническим и бытовым требованиям.  [обобщенный. Короткие корреспонденции // «Техника - молодежи», 1977]  [омонимия не снята]  ←…→"	1	алитус	cDent	sk
алкмар	386	autre	#а ал лк км ма ар р#	-3.162765918978012	p	0	0	0	0.7090237176208749	0.2476423831396266	0.2120309842825059	0.1542238972666639	2	ad	a	I	1	m	0	0	0	алкмарский	"Максим Ляпин. Кого купил ЦСКА. «ССФ» присматривается к новичкам армейского клуба // Советский спорт, 2012.01.23   [омонимия не снята]  Все примеры (1)
           Сетевой дневник шведки был настолько популярен среди алкмарских фанатов, что они переводили ее сообщения на голландский.  [Максим Ляпин. Кого купил ЦСКА. «ССФ» присматривается к новичкам армейского клуба // Советский спорт, 2012.01.23]  [омонимия не снята]  ←…→"	1	алкмар	cDent	sk
альбервиль	65	autre	#а ал ль ьб бе ер рв ви ил ль ь#	-3.604952043672047	p	0	0	0	0.5142280126100893	0.2817450937486834	0.218416103833668	0.3439294359056054	3	d	a	I	2	m	0	0	0	альбервильский	"Ярослав КОРОБАТОВ, Екатерина ПЕРЕВОЗЧИКОВА («КП» - Киров»). Фигурист Петухов нашел жену по интернету // Комсомольская правда, 2005.12.16   [омонимия не снята]  Все примеры (1)
           Или серебряного призера альбервильской Олимпиады Дениса Петрова, который женился на китаянке Чень Лу и работает в собственном центре в Поднебесной.  [Ярослав КОРОБАТОВ, Екатерина ПЕРЕВОЗЧИКОВА («КП» - Киров»). Фигурист Петухов нашел жену по интернету // Комсомольская правда, 2005.12.16]  [омонимия не снята]  ←…→"	1	альбервил	cDent	sk
альфонс	944	autre	#а ал ль ьф фо он нс с#	-3.172150829165436	0	h	0	0	0.3323059636034892	0.5165395600247027	0.3371543627729855	0.3454265453138371	2	d	a	I	1	m	0	0	0	альфонсский	"Женщина + мужчина: Психология любви (форум) (2004)   [омонимия не снята]  Все примеры (1)
           Из всего вышеизложенного можно сделать вывод, что ты ― не более, чем пустышка, да ещё и с альфонсскими наклонностями.  [Женщина + мужчина: Психология любви (форум) (2004)]  [омонимия не снята]  ←…→"	1	альфонс	cDent	sk
альянс	12515	autre	#а ал ль ья ян нс с#	-2.1939964536566023	0	0	0	a	0.2974144036909231	0.3296157287342374	0.2738592384204856	0.4490797943317733	2	d	a	I	1	m	0	0	0	альянсный	"Екатерина Кочетова. Опережая время // Известия, 2014.04.22   [омонимия не снята]  Все примеры (1)
           Важно отметить, что в основу создания МТС заложены альянсные отношения с партнерами, поэтому наши инвестиции осуществлялись на паритетных началах (около $7,5 млн вложил Microsoft и столько же партнеры — «Известия»).  [Екатерина Кочетова. Опережая время // Известия, 2014.04.22]  [омонимия не снята]  ←…→"	1	альянс	cDent	n
аляска	2254	autre	#а ал ля яс ск ка а#	1.8181989560625067	p	0	0	0	0.5554291664601584	0.4498563933134392	0.371133999422729	0.235623562949234	3	ad	a	II	3	f	1	0	supp	алясский	"В. А. Мезенцев. Чудеса: Популярная энциклопедия. Том 1. Книга 2 (1991)   [омонимия не снята]  Все примеры (1)
           Однако крупнейший из них ― алясский ― стал известен только в 1898 году.  [В. А. Мезенцев. Чудеса: Популярная энциклопедия. Том 1. Книга 2 (1991)]  [омонимия не снята]  ←…→"	1	аляс	cDent	sk
амальфи	34	autre	#а ам ма ал ль ьф фи и#	-2.8815102868909204	p	0	0	0	0.5956490796079239	0.4010249583772717	0.2321732127406673	0.2256382499464305	3	ad	0	I	0	m	0	mouil	supp	амальфский	"А. Д. Чертков. Журнал моего путешествия по Австрии, Италии, Сицилии, Швейцарии и проч (1823-1825)   [омонимия не снята]  Все примеры (1)
           Страна живописная и весьма сходная с Амальфским берегом по ту сторону Неаполя.  [А. Д. Чертков. Журнал моего путешествия по Австрии, Италии, Сицилии, Швейцарии и проч (1823-1825)]  [омонимия не снята]  ←…→"	1	амальф	cLab	sk
амарилло	7	autre	#а ам ма ар ри ил лл ло о#	-2.607102791058816	p	0	0	0	0.6792688719223673	0.2349084799536716	0.2901122257113629	0.2382052588205546	4	ad	0	I	0	m	0	mouil	supp	амарилльский	"Илья Ильф, Евгений Петров. Одноэтажная Америка (1936)   [омонимия не снята]  Все примеры (1)
           Это была типичная нью-йоркская, чикагская или амарилльская девица из кафе, ― плотная завивка, нарумяненные щеки, выщипанные брови, отлакированные ногти и безукоризненное профессиональное умение работать.  [Илья Ильф, Евгений Петров. Одноэтажная Америка (1936)]  [омонимия не снята]  ←…→"	1	амарилл	cDent	sk
амгунь	109	autre	#а ам мг гу ун нь ь#	-0.5213838401859177	p	0	0	0	0.5993395557414173	0.4430519108633815	0.3692810697289521	0.2240832810793186	2	d	a	III	8	f	0	mouil	0	амгунский	"В. К. Арсеньев. В горах Сихотэ-Алиня (1937)   [омонимия не снята]  Все примеры (1)
           Работы геолога П.И. Яворского относятся к Амгунскому бассейну, граничащему с Уссурийским краем, и потому мы отметим один только его маршрут в 1903 году по Амуру от города Хабаровска до озера Удыль1.  [В. К. Арсеньев. В горах Сихотэ-Алиня (1937)]  [омонимия не снята]  ←…→"	1	амгун	cDent	sk
амида	83	autre	#а ам ми ид да а#	-0.0925201236219133	p	0	0	0	0.5020253378772035	0.4255622761630324	0.3175040726865137	0.3005036343620927	3	ad	b	II	1	f	0	0	0	амидский	"С. В. Логинов. Драгоценнее многих (медицинские хроники) // «Наука и жизнь», 2007   [омонимия не снята]  Все примеры (1)
           Можно назвать также Аэция Амидского, первого лекаря христиан, и Альберта Великого, который тоже был медиком.  [С. В. Логинов. Драгоценнее многих (медицинские хроники) // «Наука и жизнь», 2007]  [омонимия не снята]  ←…→"	1	амид	cDent	sk
амфитеатр	1194	autre	#а ам мф фи ит те еа ат тр р#	-3.825497433076521	0	0	c	0	0.3414157495760247	0.2927130195593997	0.5279369331452212	0.327167340609762	4	d	a	I	1	m	0	0	0	амфитеатровый	"Андрей Вознесенский. На виртуальном ветру (1998)   [омонимия не снята]  Все примеры (1)
           Амфитеатровая аудитория университета живописно пошевеливалась во мраке.  [Андрей Вознесенский. На виртуальном ветру (1998)]  [омонимия не снята]  ←…→"	1	амфитеатр	cDent	Ov
анализ	43951	autre	#а ан на ал ли из з#	-2.7549728710827246	0	0	0	a	0.2299443342983098	0.3161004198685093	0.374972760916617	0.5132180531139993	3	ad	a	I	1	m	0	0	0	анализный	"Светлана ШАЙДАКОВА и Лина САВАНСКАЯ. «Пирог счастья» лечит насморк и помогает с замужеством // Комсомольская правда, 2002.06.03   [омонимия не снята]  Все примеры (1)
           Баночку поликлинично-анализного вида я, конечно, тут же спрятала в сумку.  [Светлана ШАЙДАКОВА и Лина САВАНСКАЯ. «Пирог счастья» лечит насморк и помогает с замужеством // Комсомольская правда, 2002.06.03]  [омонимия не снята]  ←…→"	1	анализ	cDent	n
анахайм	1269	autre	#а ан на ах ха ай йм м#	-1.7599640521023656	p	0	0	0	0.6289913896606738	0.2325474871669746	0.2469480261378439	0.2735897716669814	3	aad	a	I	1	m	0	0	0	анахаймский	"Борис Титов. Доллар на клюшке // Известия, 2006.05.25   [омонимия не снята]  Все примеры (1)
           Ворота анахаймских ""Могучих Уток"" защищает Илья Брызгалов, годовой оклад которого составляет ""скромные"" 456 тысяч долларов.  [Борис Титов. Доллар на клюшке // Известия, 2006.05.25]  [омонимия не снята]  ←…→"	1	анахайм	cLab	sk
анаша	318	autre	#а ан на аш ша а#	0.7130863035918387	0	0	c	0	0.1970524686140794	0.3608085050092221	0.571499550850459	0.4169086529203769	3	d	b	II	4	f	0	0	0	анашовый	"Сергей Каледин. Записки гробокопателя (1987-1999)   [омонимия не снята]  Все примеры (1)
           Анашовый кайф вылетел из его головы, как и не было.  [Сергей Каледин. Записки гробокопателя (1987-1999)]  [омонимия не снята]  ←…→"	1	анаш	cAlv	Ov
ангстрем	416	autre	#а ан нг гс ст тр ре ем м#	-2.972028078876241	0	0	0	a	0.2357829285555331	0.2356730623964945	0.366963654462802	0.4784189952028906	2	d	a	I	1	m	0	0	0	ангстремный	"Филипп Старог. Как создать искусственный мозг // «Техника - молодежи», 1975   [омонимия не снята]  Все примеры (1)
           При микронных размерах ячеек это означает ангстремные размеры элементов хранения программы роста, а в настоящее время на этот счет нет даже научно-фантастических идей.  [Филипп Старог. Как создать искусственный мозг // «Техника - молодежи», 1975]  [омонимия не снята]  ←…→"	1	ангстрем	cLab	n
андовер	0	autre	#а ан нд до ов ве ер р#	-2.6077049735319178	p	0	0	0	0.6253222920336019	0.248819187846548	0.2360242164802789	0.1950900529704514	3	aad	a	I	1	m	0	0	0	андоверский	"Новости науки и техники // «Наука и техника», 1925   [омонимия не снята]  Все примеры (1)
           26 мая, в Англии, во время полета военного аэроплана над Андоверским аэродромом, произошел необычайной случай смерти радиотелеграфиста Ф. Лоури.  [Новости науки и техники // «Наука и техника», 1925]  [омонимия не снята]  ←…→"	1	андовер	cDent	sk
анероид	72	autre	#а ан не ер ро ои ид д#	-2.5561184099135046	0	0	c	0	0.2130777931079209	0.2065256705450394	0.4929252738174707	0.311168285534764	4	ad	a	I	1	m	0	0	0	анероидный	"Л. Манвелов. Артериальное давление измеряйте правильно // «Наука и жизнь», 2007   [омонимия не снята]  Все примеры (1)
           Для измерения АД методом Короткова используются ртутные и анероидные манометры.  [Л. Манвелов. Артериальное давление измеряйте правильно // «Наука и жизнь», 2007]  [омонимия не снята]  ←…→"	1	анероид	cDent	n
анортозит	14	autre	#а ан но ор рт то оз зи ит т#	-3.3517364174270567	0	0	c	0	0.2343414688065833	0.2024581392059643	0.4546998957742901	0.2541204432133622	4	d	a	I	1	m	0	0	0	анортозитовый	"Виталий Васильев. Место работы — космос // «Техника - молодежи», 1977   [омонимия не снята]  Все примеры (1)
           По составу вещества грунт нельзя отнести в чистом виде ни к морскому, ни к материковому: несколько процентов типичных базальтов, малое содержание анортозитовых пород, а больше всего в процентном отношении пород магматических типа Габро.  [Виталий Васильев. Место работы — космос // «Техника - молодежи», 1977]  [омонимия не снята]  ←…→"	1	анортозит	cDent	Ov
ансбах	8	autre	#а ан нс сб ба ах х#	-1.7126701988663895	p	0	0	0	0.7377199790351321	0.3433251051290827	0.1918342832763422	0.2319702960476944	2	ad	a	I	3	m	0	0	0	ансбахский	"Д. Н. Анучин. Александр фон-Гумбольдт как путешественник и географ и в особенности как исследователь Азии (1915)   [омонимия не снята]  Все примеры (1)
           Ученье его здесь продолжалось, впрочем, недолго; в 1792 г. он уже занял место ассесора в горном департаменте в Берлине, сопровождал затем министра Гарденберга в Байрейт для ревизии тамошнего горного дела, а через месяц после того был назначен обербергмейстером Байрейтского и Ансбахского горного округа.  [Д. Н. Анучин. Александр фон-Гумбольдт как путешественник и географ и в особенности как исследователь Азии (1915)]  [омонимия не снята]  ←…→"	1	ансбах	cVel	sk
ансон	19	autre	#а ан нс со он н#	-2.51049049904533	p	0	0	0	0.4952099953000543	0.376166039273308	0.3293080602397045	0.256568365493718	2	d	a	I	1	m	0	0	0	ансонский	"А. Н. Ланьков. Выходцы из КНДР в Южной Корее: проблемы и перспективы (2002) // «Проблемы Дальнего Востока», 2002.04.29   [омонимия не снята]  Все примеры (1)
           Именно проблемы с расселением в провинции стали причиной столкновения в ансонском «Ханавоне», сотрудникам которого в итоге пришлось обратиться за помощью в полицию.  [А. Н. Ланьков. Выходцы из КНДР в Южной Корее: проблемы и перспективы (2002) // «Проблемы Дальнего Востока», 2002.04.29]  [омонимия не снята]  ←…→"	1	ансон	cDent	sk
антанта	1810	autre	#а ан нт та ан нт та а#	-2.263610251933136	0	0	0	a	0.3746755252706212	0.2903044504996891	0.1715913923249684	0.2475791158074313	3	ad	a	II	1	f	0	0	0	антантный	"Н. Я. Агнивцев. Кепка (1923-1926)   [омонимия не снята]  Все примеры (1)
           Но, поднатужась до пота,  Все же, к двадцатым годам,  Даже антантным дредноутам Кепка дала по шеям!  [Н. Я. Агнивцев. Кепка (1923-1926)]  [омонимия не снята]  ←…→"	1	антант	cDent	n
антрахинон	13	autre	#а ан нт тр ра ах хи ин но он н#	-4.096499420990392	0	0	c	0	0.1846964331739362	0.2738490294368154	0.683233529658825	0.3984015069721618	4	d	a	I	1	m	0	0	0	антрахиноновый	"В. Парини. Путешествие за жар-птицей // «Химия и жизнь», 1966   [омонимия не снята]  Все примеры (1)
           Синтез ализарина из антрахинона дал толчок для получения разнообразных антрахиноновых красителей, была получена также целая группа так называемых индигоидных красителей: в их основе лежала структура, аналогичная структуре индиго.  [В. Парини. Путешествие за жар-птицей // «Химия и жизнь», 1966]  [омонимия не снята]  ←…→"	1	антрахинон	cDent	Ov
антропогенез	60	autre	#а ан нт тр ро оп по ог ге ен не ез з#	-1.0739864110019524	0	0	0	a	0.2939010362555015	0.2945902114971852	0.3236723090769769	0.4053199525827389	5	d	a	I	1	m	0	0	supp	антропогеновый	"Л. Р. Серебрянный, А. В. Орлов. Ледники в горах (1985)   [омонимия не снята]  Все примеры (1)
           К настоящему времени принципиально выяснены пути искусственной трансформации водно-ледникового баланса за счет усиления таяния льда с использованием солнечной и антропогеновой энергии.  [Л. Р. Серебрянный, А. В. Орлов. Ледники в горах (1985)]  [омонимия не снята]  ←…→"	1	антропоген	cDent	Ov
анчоус	217	autre	#а ан нч чо оу ус с#	-1.5191954219955104	0	0	c	0	0.2605011135201621	0.6446854314531716	0.5473945114803059	0.3574100599865211	3	ad	a	I	1	m	0	0	0	анчоусовый	"Е. И. Расторгуев. Прогулки по Невскому проспекту (1846)   [омонимия не снята]  Все примеры (1)
           Сыры всей Европы: швейцарский, голландский, невшательский, лимбургский, пармезан, честер, стильтон, словом, всякие, кроме русского (и который зато чаще всего продается за иностранный); французские сардины, анчоусы, трюфели, вествальская ветчина, итальянские колбасы, разные сои, анчоусовое масло, парижские салаты, разные пикалии, страсбургские французские пастеты и прочее.  [Е. И. Расторгуев. Прогулки по Невскому проспекту (1846)]  [омонимия не снята]  ←…→"	1	анчоус	cDent	Ov
аорист	17	autre	#а ао ор ри ис ст т#	-3.196165250984473	0	0	0	a	0.1826192293870623	0.2022656446871061	0.41921952180132	0.3946473440306751	3	ad	a	I	1	m	0	0	0	аористной	"В. А. Плунгян. Проблемы грамматического значения в современных морфологических теориях (обзор) (1999)   [омонимия не снята]  Все примеры (1)
           Так, утверждается, что перфект (anterior) может возникать на базе результатива или комплетива и эволюционировать в направлении чисто эвиденциальных показателей или показателей простого прошедшего времени аористного типа; предлагается различать 5 этапов этого процесса, характеризуемых, соответственно, как «молодой перфект», «старый перфект», и т. п.  [В. А. Плунгян. Проблемы грамматического значения в современных морфологических теориях (обзор) (1999)]  [омонимия не снята]  ←…→"	1	аорист	cDent	n
