Nom	FreqN	SourceN	BigramN	Score_etym	ClSem_p	ClSem_h	ClSem_c	ClSem_a	Score_p	Score_h	Score_c	Score_a	SyllN	AccSyllN	AccZal	ClFlex	ClFlexZal	Genre	AllomV	AllomC	Segment	Adjectif	Context	FreqA	Radical	DPhoR	SuffDerA
дело	584410	slave	#д де ел ло о#	0.1841775736097194	0	0	0	a	0.1960346182870652	0.3042768741478444	0.3211074597080731	0.4075501181257502	2	ad	c	I	1	n	0	0	0	деловой		29362	дел	cDent	Ov
кредит	59960	autre	#к кр ре ед ди ит т#	-2.2442742014641777	0	0	0	a	0.1808639030103492	0.4562348780049688	0.5149988337623398	0.6634329745916594	2	ad	a	I	1	m	0	0	0	кредитный		29064	кредит	cDent	n
ядро	12401	slave	#я яд др ро о#	0.5667990272059477	0	0	c	0	0.2437729839619571	0.313699404800594	0.5781229506050897	0.4669440703148934	2	d	d	I	1	n	1	0	0	ядерный		28764	ядер	cDent	n
грязь	23516	slave	#г гр ря яз зь ь#	-0.0043880370848919	0	0	c	0	0.2069741863948004	0.2915023783160423	0.5762691065460481	0.4504281361247336	1	d	a	III	8	f	0	mouil	0	грязный		27095	гряз	cDent	n
страх	61244	slave	#с ст тр ра ах х#	-0.1000901144208473	0	0	0	a	0.2203154150588019	0.4037020969039546	0.4416601179257394	0.6351492477013583	1	d	a	I	3	m	0	0	0	страховой		26551	страх	cVel	Ov
гроза	10558	slave	#г гр ро оз за а#	1.7198874294969646	0	0	c	0	0.2535739260107259	0.2608107162605472	0.6695417061706621	0.4504001759543851	2	d	d	II	1	f	0	0	0	грозный		25512	гроз	cDent	n
цена	58306	slave	#ц це ен на а#	2.492562957478268	0	0	0	a	0.1433841946376843	0.3285008154531803	0.4047286692414786	0.6014260779488264	2	d	d	II	1	f	0	0	0	ценный		25043	цен	cDent	n
срок	123342	slave	#с ср ро ок к#	0.9377784779377716	0	0	0	a	0.1316183577508559	0.2028324284098011	0.257426935605074	0.3784257144267268	1	d	a	I	3	m	0	palat	0	срочный		24669	сроч	cAlv	n
гора	105068	slave	#г го ор ра а#	0.8394481098550196	0	0	c	0	0.4798530656608651	0.3076198125344985	0.6616557327429661	0.3815780376465629	2	d	f	II	1	f	0	0	0	горный		21201	гор	cDent	n
стол	147863	slave	#с ст то ол л#	0.0301517234632204	0	0	c	0	0.1806988720166924	0.304736544926114	0.6430411723362986	0.3757767569272394	1	d	b	I	1	m	0	0	0	столовый		21045	стол	cDent	Ov
смех	31407	slave	#с см ме ех х#	0.4419127117135354	0	0	0	a	0.2015643021685663	0.3076131513505586	0.3851280639364363	0.5182150519737428	1	d	a	I	3	m	0	palat	0	смешной		20860	смеш	cAlv	n
вечер	180102	slave	#в ве еч че ер р#	-0.1640616518899765	0	0	0	a	0.2626011517397677	0.3048283841044154	0.3758161890984038	0.6694717983715887	2	ad	c	I	1	m	0	0	0	вечерний		20801	вечер	cDent	n
земля	271231	slave	#з зе ем мл ля я#	-0.3322558092852924	p	0	c	0	0.3382603216078359	0.3811090539955076	0.4598140174194818	0.3971691491002528	2	d	d	II	2	f	1	0	0	земельный		20303	земел	cDent	n
холод	20271	slave	#х хо ол ло од д#	0.9017346860928216	0	0	0	a	0.2542132187206593	0.2981262608875436	0.5469142033475501	0.6041933999252913	2	ad	c	I	1	m	0	0	0	холодный		19999	холод	cDent	n
буря	19611	slave	#б бу ур ря я#	-0.9585456887139304	0	0	c	0	0.2783257102386921	0.3082606097083441	0.6769984899623596	0.4408732947789871	2	ad	a	II	2	f	0	mouil	0	бурный		19342	бур	cDent	n
дурь	1846	slave	#д ду ур рь ь#	-0.3190047555281274	0	0	0	a	0.2153558639155725	0.4392460924355855	0.4532925852378536	0.4807328813811004	1	d	a	III	8	f	0	mouil	0	дурной		18633	дур	cDent	n
сибирь	33840	autre	#с си иб би ир рь ь#	-0.2414480621889771	p	0	0	0	0.6199632942271818	0.4016959612356341	0.3643962959049601	0.2887594852006375	2	d	a	III	8	f	0	mouil	0	сибирский		18105	сибир	cDent	sk
парламент	39549	autre	#п па ар рл ла ам ме ен нт т#	-1.0124595558042224	0	0	0	a	0.2891403166551236	0.4771999252267422	0.2898989722256551	0.576452400111358	3	ad	a	I	1	m	0	0	0	парламентский		17018	парламент	cDent	sk
сила	339048	slave	#с си ил ла а#	1.6212762365807885	0	0	0	a	0.261192569178107	0.3112823133743381	0.3936740031656812	0.4775113161936501	2	ad	a	II	1	f	0	0	0	силовой		16994	сил	cDent	Ov
ряд	171359	slave	#р ря яд д#	0.576661879599148	0	0	0	a	0.14148149228719	0.1703006179164261	0.2871451977862361	0.3200014872542535	1	d	c	I	1	m	0	0	0	рядовой		16130	ряд	cDent	Ov
цвет	67818	slave	#ц цв ве ет т#	-0.8944801576974105	0	0	0	a	0.1435562789656524	0.2977897599772887	0.5307475375404518	0.450889597646913	1	d	c	I	1	m	0	0	0	цветной		15880	цвет	cDent	n
игра	200071	slave	#и иг гр ра а#	1.4771229439517397	0	0	0	a	0.2772097258706408	0.3703299524098509	0.3987684803380348	0.5106896193399411	2	d	d	II	1	f	0	0	0	игровой		15755	игр	cDent	Ov
шум	36286	slave	#ш шу ум м#	-0.5744063157697181	0	0	0	a	0.1361108142283381	0.3017438078248114	0.4313733230234526	0.5851694350193721	1	d	a	I	1	m	0	0	0	шумный		15204	шум	cLab	n
крест	34861	slave	#к кр ре ес ст т#	-1.4927635252760791	0	0	c	0	0.2706617490598938	0.3401325407012303	0.4783879103994863	0.3062299856013543	1	d	b	I	1	m	0	0	0	крестный		15098	крест	cDent	n
снег	65015	slave	#с сн не ег г#	0.4991419030627654	0	0	c	0	0.2477554000432114	0.3247722278209137	0.61291516405174	0.5536520609871285	1	d	c	I	3	m	0	palat	0	снежный		14944	снеж	cAlv	n
свет	179106	slave	#с св ве ет т#	-0.3167002930386494	0	0	0	a	0.2529101117181299	0.3258428663723974	0.4827230321460832	0.4424445737549327	1	d	a	I	1	m	0	0	0	светский		14012	свет	cDent	sk
мода	13337	autre	#м мо од да а#	1.8124876463843416	0	0	0	a	0.2586534903964684	0.4005110120660132	0.3901859072267175	0.4918367935936582	2	ad	a	II	1	f	0	0	0	модный		13993	мод	cDent	n
вкус	34598	slave	#в вк ку ус с#	0.8868833325662738	0	0	0	a	0.1594178993543897	0.3222956132180957	0.4223391531109843	0.5462974697929398	1	d	a	I	1	m	0	0	0	вкусный		13462	вкус	cDent	n
свет	179106	slave	#с св ве ет т#	-0.3167002930386494	0	0	0	a	0.2529101117181299	0.3258428663723974	0.4827230321460832	0.4424445737549327	1	d	a	I	1	m	0	0	0	световой		12691	свет	cDent	Ov
крестьянин	50554	slave	#к кр ре ес ст ть ья ян ни ин н#	-1.0823404743247398	0	h	0	0	0.3074693867020911	0.4894087153519265	0.4512414314037623	0.4698704223850389	3	ad	a	I	1	m	0	0	supp	крестьянский		12359	крестьян	cDent	sk
коллектив	15614	autre	#к ко ол лл ле ек кт ти ив в#	-1.8117148139476784	0	0	0	a	0.1924059598297664	0.3071949351479563	0.4106316704102625	0.344073659666506	3	d	a	I	1	m	0	0	0	коллективный		11762	коллектив	cLab	n
интеллектуал	1870	autre	#и ин нт те ел лл ле ек кт ту уа ал л#	-2.90619139020351	0	h	0	0	0.3111368053812605	0.6076147963143733	0.2959289523468263	0.4164390687590379	5	d	a	I	1	m	0	mouil	0	интеллектуальный		11475	интеллектуал	cDent	n
класс	95444	autre	#к кл ла ас сс с#	-0.8040219234972585	0	0	c	a	0.1169499805083398	0.2814036992626927	0.3678666001145504	0.3803916317305281	1	d	a	I	1	m	0	0	0	классный		11153	класс	cDent	n
санитар	2956	autre	#с са ан ни ит та ар р#	-1.750483063019492	0	h	0	0	0.2620305676290324	0.5963444440700025	0.4433570953671764	0.3149507504135801	3	d	a	I	1	m	0	0	0	санитарный		10970	санитар	cDent	n
тюрьма	47024	autre	#т тю юр рь ьм ма а#	1.005810799615961	0	0	c	0	0.4192842872446281	0.3939740672131144	0.5700604572263033	0.4535983457556189	2	d	d	II	1	f	1	0	0	тюремный		10816	тюрем	cLab	n
строй	25239	slave	#с ст тр ро ой й#	-0.1383847184370406	0	0	0	a	0.2101262986598228	0.2596572851261764	0.3405594264855153	0.3813524274451655	1	d	a	I	6	m	0	0	0	стройный		10780	строj	cAlv	n
пассажир	41952	autre	#п па ас сс са аж жи ир р#	0.1662260719438492	0	h	0	0	0.2244328375075872	0.4502181284071979	0.515604020343124	0.3994834658283103	3	d	a	I	1	m	0	0	0	пассажирский		10525	пассажир	cDent	sk
хоккей	29168	autre	#х хо ок кк ке ей й#	-0.2880390797445318	0	0	0	a	0.2201710704546099	0.2912559160524498	0.3059229129257555	0.6127865106465002	2	d	a	I	6	m	0	0	0	хоккейный		10229	хоккеj	cAlv	n
воробей	10704	slave	#в во ор ро об бе ей й#	1.067974841780304	0	h	0	0	0.2274826722878046	0.6114371279156936	0.4266835750841465	0.32948935715889	3	d	b	I	6	m	1	0	0	воробьевый		10044	воробьj	cAlv	Ov
ракета	27687	autre	#р ра ак ке ет та а#	0.7606674517440717	0	0	c	0	0.3072362010135873	0.3396805128981454	0.6000343282899994	0.41456659682097	3	ad	a	II	1	f	0	0	0	ракетный		10024	ракет	cDent	n
инженер	31229	autre	#и ин нж же ен не ер р#	-1.3243168878809206	0	h	0	0	0.2611103571838884	0.5069639690500135	0.3789970260829328	0.2996306549473947	3	d	a	I	1	m	0	0	0	инженерный		9556	инженер	cDent	n
груз	23781	slave	#г гр ру уз з#	-0.2449180752430519	0	0	c	0	0.2376814104709477	0.3305448711499097	0.5517899779228349	0.4389391992617762	1	d	a	I	1	m	0	0	0	грузовой		9307	груз	cDent	Ov
актер	63034	autre	#а ак кт те ер р#	-3.632735949203307	0	h	0	0	0.3403211795018955	0.5949264540383258	0.4070604497149619	0.4086650910749423	2	d	a	I	1	m	0	0	0	актерский		9299	актер	cDent	sk
край	103306	slave	#к кр ра ай й#	-0.927287960240501	0	0	0	a	0.3879819626589179	0.2860188656247853	0.4081048957556566	0.2775754162422252	1	d	c	I	6	m	0	0	0	краевой		9279	краj	cAlv	Ov
азиат	1216	autre	#а аз зи иа ат т#	-2.4348908467629435	0	h	0	0	0.239434861553329	0.424210411078712	0.2000937561428987	0.2224099548750944	3	d	a	I	1	m	0	0	0	азиатский		9121	азиат	cDent	sk
двор	91585	slave	#д дв во ор р#	-0.518174104254192	0	0	c	0	0.2853842434721079	0.3586076013856818	0.5097606003038412	0.3650467673794747	1	d	b	I	1	m	0	0	0	дворовый		8896	двор	cDent	Ov
дума	61367	autre	#д ду ум ма а#	1.0979600920914705	0	0	0	a	0.2331642333832305	0.2951067217331009	0.2510220087651284	0.4118843660226255	2	ad	a	II	1	f	0	0	0	думский		8710	дум	cLab	sk
капитал	19795	autre	#к ка ап пи ит та ал л#	-0.9300043492985344	0	0	0	a	0.1844794575541501	0.4057370883263209	0.4556324515907537	0.5235542934995072	3	d	a	I	1	m	0	mouil	0	капитальный		8463	капитал	cDent	n
жир	6948	slave	#ж жи ир р#	-0.7164861241971849	0	0	c	0	0.1286081776290597	0.3583312025872877	0.6491138274011481	0.473850846465716	1	d	c	I	1	m	0	0	0	жирный		8279	жир	cDent	n
губерния	19701	autre	#г гу уб бе ер рн ни ия я#	-2.5690814043306376	0	0	c	0	0.3628985605142608	0.3405343146135954	0.5162812566051793	0.3620702785289117	4	aad	a	II	7	f	0	mouil	supp	губернский		8147	губерн	cDent	sk
артиллерия	17156	autre	#а ар рт ти ил лл ле ер ри ия я#	-6.079747878499008	0	0	c	0	0.3043378285911068	0.4517734048537847	0.6943993098279357	0.4605736813532105	5	aad	a	II	7	f	0	0	0	артиллерийский		8084	артиллериj	cAlv	sk
интеллигент	6578	autre	#и ин нт те ел лл ли иг ге ен нт т#	-4.031479338717383	0	h	0	0	0.2040122425249426	0.5608058185484138	0.2415719623580872	0.4181812168490967	4	d	a	I	1	m	0	0	0	интеллигентный		8077	интеллигент	cDent	n
счет	170196	slave	#с сч че ет т#	-0.3602235128690454	0	0	0	a	0.1336208644277762	0.2633790822585431	0.3211472329835741	0.4288999260205753	1	d	a	I	1	m	0	0	0	счетный		7841	счет	cDent	n
итог	117335	slave	#и ит то ог г#	-1.2102791706436136	0	0	0	a	0.209889843922321	0.2789762981664591	0.2659944551574714	0.3957111448698377	2	d	a	I	3	m	0	0	0	итоговый		7790	итог	cVel	Ov
акционер	39199	autre	#а ак кц ци ио он не ер р#	-4.42707158385325	0	h	0	0	0.3197346275512206	0.4985281483153307	0.3753020153386927	0.430062308717359	4	d	a	I	1	m	0	0	0	акционерный		7645	акционер	cDent	n
цена	211910	slave	#ц це ен на а#	2.492562957478268	0	0	0	a	0.1433841946376843	0.3285008154531803	0.4047286692414786	0.6014260779488264	2	d	d	II	1	f	0	0	0	ценовый		7580	цен	cDent	Ov
гром	15763	slave	#г гр ро ом м#	-1.102997124961453	0	0	c	0	0.2903664615017797	0.3294059387773412	0.5254230300784097	0.4344916431627612	1	d	e	I	1	m	0	0	0	громовый		7535	гром	cLab	Ov
пластик	4533	autre	#п пл ла ас ст ти ик к#	0.8332548585058862	0	0	c	0	0.1191246781457142	0.2903126568267703	0.5960210445708107	0.4999163088867265	2	ad	a	I	3	m	0	0	0	пластиковый		7464	пластик	cVel	Ov
оборона	20159	slave	#о об бо ор ро он на а#	2.164881068678421	0	0	0	a	0.3123314732864477	0.3366986905635675	0.4578171531632102	0.4402001498966498	4	ad	a	II	1	f	0	0	0	оборонный		7439	оборон	cDent	n
конкурс	59524	autre	#к ко он нк ку ур рс с#	-2.203610061091377	0	0	0	a	0.205440919095175	0.25029381186996	0.4234380788413323	0.4339473079864051	2	ad	a	I	1	m	0	0	0	конкурсный		7399	конкурс	cDent	n
брат	131477	slave	#б бр ра ат т#	-1.4630180043761856	0	h	0	0	0.3390703984614135	0.5465812433756478	0.2677913340058738	0.3394294175777102	1	d	a	I	1	m	0	0	0	братский		7349	брат	cDent	sk
резина	3826	autre	#р ре ез зи ин на а#	1.5751835132495997	0	0	c	0	0.2294545907273784	0.3008473754642303	0.6343420575905631	0.4013716838473858	3	ad	a	II	1	f	0	0	0	резиновый		7319	резин	cDent	Ov
клуб	146604	autre	#к кл лу уб б#	-0.3752634161062736	0	0	c	0	0.4312480817091728	0.4552699330157725	0.4368688493704328	0.4835032684201797	1	d	c	I	1	m	0	0	0	клубный		7023	клуб	cLab	n
пыль	25329	slave	#п пы ыл ль ь#	0.5709844308365263	0	0	c	0	0.2053161959962955	0.309680228559423	0.6010242611957132	0.5109608508783712	1	d	a	III	8	f	0	0	0	пыльный		6881	пыл	cDent	n
чай	57321	autre	#ч ча ай й#	0.0641203249127214	0	0	c	0	0.2070373848361028	0.372028397384833	0.578694247325425	0.4577829008089407	1	d	c	I	6	m	0	0	0	чайный		6621	чаj	cAlv	n
конкурент	25975	autre	#к ко он нк ку ур ре ен нт т#	-2.964614293489213	0	h	0	0	0.2401098624693413	0.4735850537780767	0.3314996533379438	0.3743429235224595	3	d	a	I	1	m	0	0	0	конкурентный		6525	конкурент	cDent	n
сеть	85713	slave	#с се ет ть ь#	0.0668781824317085	0	0	c	a	0.1812140749982385	0.4210924971344402	0.4769990721121976	0.5378631591011062	1	d	e	III	8	f	0	0	0	сетевой		6486	сет	cDent	Ov
класс	95444	autre	#к кл ла ас сс с#	-0.8040219234972585	0	0	c	a	0.1169499805083398	0.2814036992626927	0.3678666001145504	0.3803916317305281	1	d	a	I	1	m	0	0	0	классовый		6214	класс	cDent	Ov
месяц	221157	slave	#м ме ес ся яц ц#	0.0980097687514595	0	0	0	a	0.1982967028095736	0.2125389633921321	0.2293191372883553	0.5289364724182949	2	ad	a	I	5	m	0	palat	0	месячный		5945	месяч	cAlv	n
белок	16177	slave	#б бе ел ло ок к#	0.642450617497312	0	0	c	0	0.1810266172250922	0.3881107367169325	0.7300935697876294	0.5188261319228971	2	d	b	I	3	m	1	0	0	белковый		5928	белк	cVel	Ov
штат	39091	autre	#ш шт та ат т#	-1.7102884867678918	0	0	0	a	0.5793680513405324	0.2877071931411558	0.3087887531807756	0.2799715853584275	1	d	a	I	1	m	0	0	0	штатный		5595	штат	cDent	n
звук	51860	autre	#з зв ву ук к#	1.1716080298219589	0	0	0	a	0.1712962617583314	0.3392322929392575	0.5300202504015928	0.6129188067698391	1	d	a	I	3	m	0	0	0	звуковой		5489	звук	cVel	Ov
конь	35941	slave	#к ко он нь ь#	-1.3056937573708254	0	h	0	0	0.2815261922852538	0.5566453030065662	0.5271622970504765	0.3354842530877467	1	d	f	I	2	m	0	0	0	конный		5478	кон	cDent	n
люди	463	slave	#л лю юд ди и#	-0.3009611683166093	0	h	0	0	0.2677669001394404	0.3476901281768906	0.2592403892167264	0.2737618891077198	2	ad	a	I	3	m	0	0	0	людской		5415	люд	cDent	sk
монастырь	35381	autre	#м мо он на ас ст ты ыр рь ь#	-0.5975493372928313	0	0	c	0	0.494885296913946	0.4274371917943954	0.7317541152585695	0.3658861666429231	3	d	b	I	2	m	0	mouil	0	монастырский		5376	монастыр	cDent	sk
цвет	67818	slave	#ц цв ве ет т#	-0.8944801576974105	0	0	0	a	0.1435562789656524	0.2977897599772887	0.5307475375404518	0.450889597646913	1	d	c	I	1	m	0	0	0	цветовой		5206	цвет	cDent	Ov
дуб	8516	slave	#д ду уб б#	-0.0486901925113717	0	0	c	0	0.2137635064482108	0.3426877399213898	0.7128022755671475	0.3131713581886483	1	d	c	I	1	m	0	0	0	дубовый		5200	дуб	cLab	Ov
игра	200071	slave	#и иг гр ра а#	1.4771229439517397	0	0	0	a	0.2772097258706408	0.3703299524098509	0.3987684803380348	0.5106896193399411	2	d	d	II	1	f	1	0	0	игорный		5009	игор	cDent	n
ювелир	2009	autre	#ю юв ве ел ли ир р#	-1.427216222983054	0	h	0	0	0.3052325611910254	0.5665437761540325	0.4631443417069274	0.3712131955267173	3	d	a	I	1	m	0	0	0	ювелирный		4917	ювелир	cDent	n
род	96302	slave	#р ро од д#	0.6737281353734321	0	0	0	a	0.2378186135880637	0.3612337025090766	0.3189882799083487	0.4308110332035505	1	d	c	I	1	m	0	0	0	родовой		4844	род	cDent	Ov
глас	5614	slave	#г гл ла ас с#	-0.3216646322653124	0	0	0	a	0.3106294860728378	0.3775623981735564	0.3815626189933448	0.4130891983518846	1	d	a	I	1	m	0	0	0	гласный		4796	глас	cDent	n
корень	25174	slave	#к ко ор ре ен нь ь#	-0.5660695712319808	0	0	c	a	0.2175884106689594	0.2777738910635978	0.4535822326386148	0.3836613085569604	2	ad	e	I	2	m	1	0	0	коренной		4720	корен	cDent	n
ад	13109	autre	#а ад д#	-0.968931951239052	0	0	c	0	0.4063705528292345	0.4900053223982959	0.4650167486043137	0.4061385069489397	1	d	a	I	1	m	0	0	0	адский		4421	ад	cDent	sk
колхоз	16060	slave	#к ко ол лх хо оз з#	-0.9201645152340509	0	0	0	a	0.3040174190953918	0.3752362349514564	0.4403844537743452	0.5028464871097397	2	d	a	I	1	m	0	0	0	колхозный		4354	колхоз	cDent	n
музей	52534	autre	#м му уз зе ей й#	-0.6705267775262816	0	0	c	0	0.298421016872616	0.2289993111822294	0.5334231335835822	0.3953115718520514	2	d	a	I	6	m	0	0	0	музейный		4304	музеj	cAlv	n
теннис	11039	autre	#т те ен нн ни ис с#	0.2844436706143837	0	0	0	a	0.2184482011811582	0.3092542530392063	0.3192954889918349	0.5987122788684901	2	ad	a	I	1	m	0	0	0	теннисный		4302	теннис	cDent	n
лаборатория	23214	autre	#л ла аб бо ор ра ат то ор ри ия я#	-4.329405432761801	0	0	c	0	0.3232557712131882	0.3707842038407963	0.4537421931807013	0.3868684888450977	6	aad	a	II	7	f	0	mouil	supp	лабораторный		4297	лаборатор	cDent	n
библия	5704	autre	#б би иб бл ли ия я#	-2.9950487497876	0	0	c	0	0.3852171324881249	0.3840412820657369	0.4645028902446927	0.3746794644713352	3	aad	a	II	7	f	0	0	0	библейский		4275	библеj	cAlv	sk
штат	39091	autre	#ш шт та ат т#	-1.7102884867678918	0	0	c	a	0.5793680513405324	0.2877071931411558	0.3087887531807756	0.2799715853584275	1	d	a	I	1	m	0	0	0	штатский		4273	штат	cDent	sk
пионер	7051	autre	#п пи ио он не ер р#	-1.292533462119635	0	h	0	0	0.21429658784041	0.4160115670163482	0.2347675178078352	0.2709663142052104	3	d	a	I	1	m	0	0	0	пионерский		4145	пионер	cDent	sk
франк	8405	autre	#ф фр ра ан нк к#	-0.935094451524682	0	0	0	a	0.3610515015447711	0.3992648585628585	0.3824647435572937	0.4836480249497429	1	d	a	I	3	m	0	0	0	франковый		4142	франк	cVel	Ov
контакт	23564	autre	#к ко он нт та ак кт т#	-4.349286382843847	0	0	0	a	0.1863418962774324	0.2493756873228937	0.3256639173332217	0.4080150335006253	2	d	a	I	1	m	0	0	0	контактный		4020	контакт	cDent	n
паспорт	28980	autre	#п па ас сп по ор рт т#	0.8930177844386235	0	0	c	0	0.1857565528048761	0.3106349426124102	0.5614462406953165	0.3639786957457322	2	ad	c	I	1	m	0	0	0	паспортный		3966	паспорт	cDent	n
цветок	61876	slave	#ц цв ве ет то ок к#	0.3102225904297031	0	0	c	0	0.1916920970802853	0.4021704359072172	0.6553703185006091	0.3952296534833074	2	d	b	I	3	m	1	palat	0	цветочный		3960	цветоч	cAlv	n
малина	3326	slave	#м ма ал ли ин на а#	-0.4371297060371153	0	0	c	0	0.2011712893364528	0.4332716871109977	0.6782927410125621	0.4025798998557922	3	ad	a	II	1	f	0	0	0	малиновый		3878	малин	cDent	Ov
воля	73630	slave	#в во ол ля я#	0.653000888672237	0	0	0	a	0.2482691998690272	0.3583831699959799	0.3319442833828759	0.4705725456080474	2	ad	a	II	2	f	0	0	0	волевой		3873	вол	cDent	Ov
звонок	32456	slave	#з зв во он но ок к#	1.429237946521975	0	0	0	a	0.2077687078673505	0.3637414012090065	0.4000360971110435	0.4098821432462659	2	d	b	I	3	m	1	0	0	звонковый		3794	звонк	cVel	Ov
гудок	6350	slave	#г гу уд до ок к#	0.6010866930238002	0	0	0	a	0.1978814809646616	0.2992769388843885	0.3849040557544669	0.5233789327918662	2	d	b	I	3	m	1	0	0	гудковый		3780	гудк	cVel	Ov
тысяча	284139	slave	#т ты ыс ся яч ча а#	2.030114594238538	0	0	0	a	0.175933050708901	0.2713099027688891	0.3480466920827256	0.5524006696386883	3	aad	a	II	4	f	0	0	0	тысячный		3769	тысяч	cAlv	n
бензин	16433	autre	#б бе ен нз зи ин н#	-0.897836400032184	0	0	c	0	0.1751178481246625	0.323148414048475	0.64464489295865	0.3651826265736269	2	d	a	I	1	m	0	0	0	бензиновый		3701	бензин	cDent	Ov
хрусталь	1845	autre	#х хр ру ус ст та ал ль ь#	-1.4182034709817075	0	0	c	0	0.2262428331273171	0.3149509042600537	0.6126947543953645	0.3566849381832768	2	d	b	I	2	m	0	0	0	хрустальный		3661	хрустал	cDent	n
хозяин	27973	slave	#х хо оз зя яи ин н#	-0.90127939529235	0	h	0	0	0.2497594469476857	0.5154968620935443	0.3620648378601719	0.3179024140248029	3	ad	a	I	1	m	0	0	supp	хозяйский		3611	хозяj	cAlv	sk
культ	6765	autre	#к ку ул ль ьт т#	-2.146556100132969	0	0	0	a	0.3287887094688141	0.3810091836563941	0.3794117608861014	0.5696341074240394	1	d	a	I	1	m	0	0	0	культовый		3589	культ	cDent	Ov
конь	39947	slave	#к ко он нь ь#	-1.3056937573708254	0	h	0	0	0.2815261922852538	0.5566453030065662	0.5271622970504765	0.3354842530877467	1	d	f	I	2	m	0	mouil	0	конский		3584	кон	cDent	sk
смола	4079	slave	#с см мо ол ла а#	2.296896730528827	0	0	c	0	0.1480677342109261	0.3280943068273699	0.6675815156554237	0.4349957860555777	2	d	d	II	1	f	0	mouil	0	смольный		3542	смол	cDent	n
